Model	Sample	EmissionType	Emission
u60L20	aat2	di	1.562
u60L20	aat2	tri	1.095
u60L20	ant1	nfr	0.47
u60L20	ant1	mono	0.806
u60L20	ant1	di	0.66
u60L20	ant1	tri	0.804
u60L20	ant2	nfr	1.233
u60L20	ant2	mono	2.651
u60L20	ant2	di	1.713
u60L20	ant2	tri	1.98

