"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NC_047627.1:6630-9400"	2015.97879704864	-0.156873557921243	0.13334357822493	-1.17646128902152	0.239410592770746	0.999937540335271
"NC_047627.1:15870-17100"	773.722155260083	0.0988662316525421	0.21428019833493	0.461387624338529	0.644520528827268	0.999937540335271
"NC_047627.1:17250-17610"	246.205688772735	-0.00673701313238072	0.345417530779385	-0.0195039699264239	0.984439070103113	0.999937540335271
"NC_047627.1:19070-20400"	3925.76336294562	-1.13916532025379	0.350422517350489	-3.25083367606313	0.00115067152665983	0.15710844755065
"NC_047627.1:20540-21400"	504.973479419852	-0.0242294832667041	0.249343516578748	-0.0971731031917644	0.922588927483524	0.999937540335271
"NC_047627.1:23010-23310"	257.213607114154	0.0204266465585343	0.315191500669472	0.0648070982724716	0.948327589729666	0.999937540335271
"NC_047627.1:24350-24880"	264.973677329602	0.30302832409672	0.335294226656227	0.903768392073779	0.3661182252492	0.999937540335271
"NC_047627.1:25130-25690"	497.038421615076	-1.00126404835599	0.24001738564506	-4.17163134105907	3.02426654454009e-05	0.00794764240307095
"NC_047627.1:25920-26900"	280.386106188981	-0.963578825135168	0.348044691970828	-2.76854911844463	0.00563064975480019	0.513481641818346
"NC_047627.1:31640-32240"	235.144444461908	0.0441406965761766	0.329471476509408	0.133974257935243	0.893422930090634	0.999937540335271
"NC_047627.1:35850-36840"	534.495852576335	-0.291302009812173	0.227117499493179	-1.28260486515669	0.199630544830509	0.999937540335271
"NC_047627.1:39020-39270"	134.111696995213	0.0611381248214603	0.442776252928162	0.138079051026658	0.890177942031031	0.999937540335271
"NC_047627.1:43140-44290"	634.370945051616	-0.59978012366641	0.267860730285351	-2.23914913928394	0.0251462138685553	0.999937540335271
"NC_047627.1:45040-73380"	12122.1024637766	-0.0501089579031661	0.0690988465119419	-0.72517792166771	0.468342885670188	0.999937540335271
"NC_047627.1:73430-88050"	6375.66256577131	-0.0243409325585261	0.0862945693390936	-0.282067953348011	0.777891405428161	0.999937540335271
"NC_047627.1:88090-96230"	3164.57733452401	0.0249520813304236	0.116181202587685	0.214768661148877	0.82994768751968	0.999937540335271
"NC_047627.1:96320-118980"	8600.46420354152	0.106235316326879	0.0829572625666972	1.28060296398361	0.20033315839957	0.999937540335271
"NC_047627.1:119020-122490"	960.831799016838	-0.00195426896496351	0.180768033911689	-0.0108109211715951	0.991374300932346	0.999937540335271
